source_row,x,y,status,candidate_count,ideal_function,delta_y,threshold,margin_to_threshold
1,-13.1000000000,-4494.9800000000,unassigned,0,,,,
2,3.4000000000,78.9570200000,assigned,1,24,0.3490200000,0.7056925676,0.3566725676
3,11.1000000000,2.4936962000,unassigned,0,,,,
4,1.9000000000,-7730.0913000000,unassigned,0,,,,
5,-14.0000000000,13840.6990000000,unassigned,0,,,,
6,-0.7000000000,0.3527447300,unassigned,0,,,,
7,17.6000000000,57.9859200000,assigned,1,40,0.5416640000,0.7067942400,0.1651302400
8,-8.7000000000,-1317.9281000000,unassigned,0,,,,
9,14.6000000000,22.8908040000,unassigned,0,,,,
10,-14.6000000000,-34.9717300000,unassigned,0,,,,
11,-0.7000000000,-1.3512440000,assigned,1,24,0.6652440000,0.7056925676,0.0404485676
12,-5.7000000000,-14732.3460000000,unassigned,0,,,,
13,3.1000000000,49.6703700000,unassigned,0,,,,
14,-15.7000000000,-7740.1426000000,assigned,1,24,0.3566000000,0.7056925676,0.3490925676
15,-13.8000000000,-33.6703600000,unassigned,0,,,,
16,9.1000000000,12.2192260000,unassigned,0,,,,
17,-0.4000000000,106.6405100000,assigned,1,40,0.5984300000,0.7067942400,0.1083642400
18,-12.8000000000,-4194.7656000000,assigned,1,24,0.4616000000,0.7056925676,0.2440925676
19,-10.3000000000,50.6417240000,unassigned,0,,,,
20,6.2000000000,12.5978390000,unassigned,0,,,,
21,17.6000000000,57.6000480000,assigned,1,40,0.1557920000,0.7067942400,0.5510022400
22,19.4000000000,-5848.9660000000,unassigned,0,,,,
23,-0.2000000000,-4.7749076000,assigned,1,13,0.6250924000,0.7060051088,0.0809127088
24,8.8000000000,1364.3492000000,unassigned,0,,,,
25,7.6000000000,9.9360200000,assigned,1,13,0.2639800000,0.7060051088,0.4420251088
26,9.9000000000,15.5874500000,unassigned,0,,,,
27,2.8000000000,-0.6794071000,unassigned,0,,,,
28,2.7000000000,12.4560090000,unassigned,0,,,,
29,-13.5000000000,10422.2660000000,unassigned,0,,,,
30,-2.8000000000,-45.0980530000,unassigned,0,,,,
31,10.9000000000,2590.5203000000,assigned,1,24,0.4623000000,0.7056925676,0.2433925676
32,9.1000000000,45.8621860000,assigned,1,36,0.3621860000,0.7056119575,0.3434259575
33,15.6000000000,77.4784800000,assigned,1,36,0.5215200000,0.7056119575,0.1840919575
34,-2.3000000000,151.9886600000,assigned,1,40,0.0323800000,0.7067942400,0.6744142400
35,-0.3000000000,2.2357740000,unassigned,0,,,,
36,-2.5000000000,4671.7210000000,unassigned,0,,,,
37,1.7000000000,69.8436000000,unassigned,0,,,,
38,-4.1000000000,200.1086300000,unassigned,0,,,,
39,8.9000000000,44.3563400000,assigned,1,36,0.1436600000,0.7056119575,0.5619519575
40,12.4000000000,61.7252120000,assigned,1,36,0.2747880000,0.7056119575,0.4308239575
41,-7.3000000000,299.8004000000,unassigned,0,,,,
42,-16.9000000000,1612.7335000000,unassigned,0,,,,
43,-11.4000000000,-4385.5815000000,unassigned,0,,,,
44,15.7000000000,7738.8960000000,unassigned,0,,,,
45,-5.9000000000,-16.4457260000,assigned,1,13,0.3542740000,0.7060051088,0.3517311088
46,18.2000000000,65.5069600000,unassigned,0,,,,
47,13.8000000000,22.0991480000,assigned,1,13,0.5008520000,0.7060051088,0.2051531088
48,6.3000000000,-914.6067000000,unassigned,0,,,,
49,12.3000000000,-10246.6260000000,unassigned,0,,,,
50,-5.3000000000,-5967.5710000000,unassigned,0,,,,
51,-1.6000000000,-8.0791870000,assigned,2,24,0.1128130000,0.7056925676,0.5928795676
52,0.2000000000,96.3454060000,unassigned,0,,,,
53,15.1000000000,-1650.5071000000,unassigned,0,,,,
54,8.1000000000,6682.6216000000,unassigned,0,,,,
55,-7.8000000000,-13912.1710000000,unassigned,0,,,,
56,2.8000000000,8719.9320000000,unassigned,0,,,,
57,15.5000000000,76.9761800000,assigned,1,36,0.5238200000,0.7056119575,0.1817919575
58,-0.7000000000,113.7343700000,assigned,1,40,0.0092100000,0.7067942400,0.6975842400
59,-4.3000000000,3349.1233000000,unassigned,0,,,,
60,13.6000000000,67.0673100000,unassigned,0,,,,
61,-10.8000000000,-2520.7776000000,unassigned,0,,,,
62,-18.5000000000,-12662.9190000000,assigned,1,24,0.3310000000,0.7056925676,0.3746925676
63,8.9000000000,43.6242680000,unassigned,0,,,,
64,1.5000000000,71.3044000000,unassigned,0,,,,
65,18.2000000000,67.0580440000,assigned,1,40,0.6143940000,0.7067942400,0.0924002400
66,-18.5000000000,-12664.4320000000,unassigned,0,,,,
67,11.1000000000,1.9881448000,unassigned,0,,,,
68,1.6000000000,7.4632273000,assigned,1,36,0.5367727000,0.7056119575,0.1688392575
69,7.3000000000,35.8414730000,assigned,1,36,0.6585270000,0.7056119575,0.0470849575
70,-18.5000000000,-12663.5770000000,assigned,1,24,0.3270000000,0.7056925676,0.3786925676
